Experiment,Iteration,Time
1,1,0.054
1,2,0.055
1,3,0.054
1,4,0.054
1,5,0.054
2,1,0.054
2,2,0.054
2,3,0.055
2,4,0.056
2,5,0.06
3,1,0.062
3,2,0.057
3,3,0.059
3,4,0.068
3,5,0.061
4,1,0.056
4,2,0.063
4,3,0.063
4,4,0.063
4,5,0.061
5,1,0.058
5,2,0.058
5,3,0.059
5,4,0.058
5,5,0.057
6,1,0.067
6,2,0.083
6,3,0.064
6,4,0.059
6,5,0.081
7,1,0.105
7,2,0.099
7,3,0.099
7,4,0.104
7,5,0.083
8,1,0.082
8,2,0.059
8,3,0.059
8,4,0.066
8,5,0.064
9,1,0.058
9,2,0.056
9,3,0.057
9,4,0.057
9,5,0.06
10,1,0.067
10,2,0.058
10,3,0.058
10,4,0.06
10,5,0.063
11,1,0.059
11,2,0.063
11,3,0.06
11,4,0.059
11,5,0.06
12,1,0.063
12,2,0.062
12,3,0.063
12,4,0.067
12,5,0.068
13,1,0.08
13,2,0.076
13,3,0.081
13,4,0.081
13,5,0.078
14,1,2.372
14,2,2.384
14,3,2.386
14,4,2.378
14,5,2.375
15,1,0.091
15,2,0.09
15,3,0.088
15,4,0.087
15,5,0.088
16,1,0.151
16,2,0.145
16,3,0.155
16,4,0.151
16,5,0.156
17,1,0.238
17,2,0.233
17,3,0.231
17,4,0.233
17,5,0.229
18,1,0.178
18,2,0.179
18,3,0.178
18,4,0.181
18,5,0.176
19,1,0.248
19,2,0.255
19,3,0.283
19,4,0.292
19,5,0.379
20,1,1.357
20,2,1.373
20,3,1.369
20,4,1.365
20,5,1.393
