Experiment,Iteration,Time
1,1,0.061
1,2,0.061
1,3,0.061
1,4,0.063
1,5,0.06
1,6,0.058
1,7,0.062
1,8,0.07
1,9,0.06
1,10,0.06
1,11,0.061
1,12,0.061
1,13,0.06
1,14,0.063
1,15,0.062
1,16,0.064
1,17,0.062
1,18,0.06
1,19,0.064
1,20,0.06
1,21,0.061
1,22,0.062
1,23,0.06
1,24,0.06
1,25,0.059
1,26,0.061
1,27,0.06
1,28,0.062
1,29,0.061
1,30,0.061
1,31,0.061
1,32,0.065
1,33,0.065
1,34,0.063
1,35,0.067
1,36,0.066
1,37,0.062
1,38,0.062
1,39,0.06
1,40,0.063
1,41,0.063
1,42,0.063
1,43,0.063
1,44,0.065
1,45,0.064
1,46,0.064
1,47,0.066
1,48,0.062
1,49,0.061
1,50,0.06
2,1,0.059
2,2,0.062
2,3,0.06
2,4,0.062
2,5,0.062
2,6,0.06
2,7,0.061
2,8,0.064
2,9,0.062
2,10,0.061
2,11,0.062
2,12,0.061
2,13,0.062
2,14,0.063
2,15,0.059
2,16,0.059
2,17,0.06
2,18,0.06
2,19,0.06
2,20,0.064
2,21,0.075
2,22,0.064
2,23,0.061
2,24,0.068
2,25,0.073
2,26,0.076
2,27,0.075
2,28,0.077
2,29,0.063
2,30,0.061
2,31,0.067
2,32,0.064
2,33,0.063
2,34,0.061
2,35,0.06
2,36,0.06
2,37,0.061
2,38,0.061
2,39,0.062
2,40,0.063
2,41,0.083
2,42,0.109
2,43,0.087
2,44,0.092
2,45,0.079
2,46,0.074
2,47,0.071
2,48,0.071
2,49,0.062
2,50,0.065
3,1,0.065
3,2,0.063
3,3,0.064
3,4,0.064
3,5,0.066
3,6,0.065
3,7,0.062
3,8,0.065
3,9,0.071
3,10,0.079
3,11,0.081
3,12,0.069
3,13,0.062
3,14,0.065
3,15,0.069
3,16,0.072
3,17,0.071
3,18,0.077
3,19,0.074
3,20,0.075
3,21,0.071
3,22,0.072
3,23,0.067
3,24,0.065
3,25,0.069
3,26,0.071
3,27,0.068
3,28,0.073
3,29,0.077
3,30,0.064
3,31,0.099
3,32,0.083
3,33,0.088
3,34,0.091
3,35,0.08
3,36,0.083
3,37,0.073
3,38,0.066
3,39,0.067
3,40,0.069
3,41,0.072
3,42,0.067
3,43,0.065
3,44,0.064
3,45,0.067
3,46,0.065
3,47,0.077
3,48,0.065
3,49,0.066
3,50,0.064
4,1,0.061
4,2,0.063
4,3,0.063
4,4,0.063
4,5,0.062
4,6,0.063
4,7,0.067
4,8,0.069
4,9,0.074
4,10,0.071
4,11,0.064
4,12,0.062
4,13,0.063
4,14,0.063
4,15,0.061
4,16,0.067
4,17,0.063
4,18,0.064
4,19,0.062
4,20,0.061
4,21,0.062
4,22,0.063
4,23,0.063
4,24,0.063
4,25,0.062
4,26,0.061
4,27,0.06
4,28,0.063
4,29,0.061
4,30,0.062
4,31,0.066
4,32,0.064
4,33,0.062
4,34,0.065
4,35,0.063
4,36,0.064
4,37,0.062
4,38,0.06
4,39,0.061
4,40,0.061
4,41,0.062
4,42,0.062
4,43,0.062
4,44,0.062
4,45,0.064
4,46,0.062
4,47,0.063
4,48,0.062
4,49,0.064
4,50,0.065
5,1,0.061
5,2,0.063
5,3,0.061
5,4,0.064
5,5,0.061
5,6,0.065
5,7,0.073
5,8,0.065
5,9,0.064
5,10,0.066
5,11,0.066
5,12,0.062
5,13,0.065
5,14,0.065
5,15,0.06
5,16,0.061
5,17,0.063
5,18,0.061
5,19,0.065
5,20,0.063
5,21,0.061
5,22,0.061
5,23,0.064
5,24,0.063
5,25,0.059
5,26,0.063
5,27,0.062
5,28,0.063
5,29,0.063
5,30,0.066
5,31,0.065
5,32,0.062
5,33,0.062
5,34,0.065
5,35,0.062
5,36,0.062
5,37,0.064
5,38,0.065
5,39,0.062
5,40,0.064
5,41,0.063
5,42,0.06
5,43,0.061
5,44,0.061
5,45,0.061
5,46,0.064
5,47,0.063
5,48,0.062
5,49,0.062
5,50,0.062
6,1,0.062
6,2,0.077
6,3,0.069
6,4,0.064
6,5,0.068
6,6,0.066
6,7,0.064
6,8,0.066
6,9,0.065
6,10,0.063
6,11,0.063
6,12,0.062
6,13,0.062
6,14,0.063
6,15,0.062
6,16,0.064
6,17,0.064
6,18,0.065
6,19,0.067
6,20,0.062
6,21,0.063
6,22,0.063
6,23,0.062
6,24,0.064
6,25,0.061
6,26,0.063
6,27,0.063
6,28,0.064
6,29,0.062
6,30,0.063
6,31,0.062
6,32,0.061
6,33,0.06
6,34,0.067
6,35,0.064
6,36,0.064
6,37,0.063
6,38,0.064
6,39,0.063
6,40,0.064
6,41,0.064
6,42,0.065
6,43,0.063
6,44,0.064
6,45,0.063
6,46,0.063
6,47,0.063
6,48,0.063
6,49,0.064
6,50,0.065
7,1,0.066
7,2,0.08
7,3,0.065
7,4,0.064
7,5,0.065
7,6,0.067
7,7,0.065
7,8,0.066
7,9,0.066
7,10,0.067
7,11,0.069
7,12,0.07
7,13,0.068
7,14,0.067
7,15,0.071
7,16,0.065
7,17,0.064
7,18,0.064
7,19,0.067
7,20,0.067
7,21,0.068
7,22,0.067
7,23,0.066
7,24,0.066
7,25,0.066
7,26,0.068
7,27,0.065
7,28,0.065
7,29,0.068
7,30,0.067
7,31,0.066
7,32,0.071
