Experiment,Iteration,Time
1,1,0.063
1,2,0.06
1,3,0.06
1,4,0.069
1,5,0.065
1,6,0.063
1,7,0.069
1,8,0.061
1,9,0.066
1,10,0.068
1,11,0.061
1,12,0.062
1,13,0.062
1,14,0.066
1,15,0.065
1,16,0.064
1,17,0.06
1,18,0.061
1,19,0.058
1,20,0.068
1,21,0.061
1,22,0.06
1,23,0.063
1,24,0.061
1,25,0.063
1,26,0.06
1,27,0.064
1,28,0.063
1,29,0.062
1,30,0.064
1,31,0.081
1,32,0.067
1,33,0.07
1,34,0.068
1,35,0.064
1,36,0.073
1,37,0.067
1,38,0.063
1,39,0.061
1,40,0.064
1,41,0.062
1,42,0.06
1,43,0.059
1,44,0.06
1,45,0.063
1,46,0.061
1,47,0.062
1,48,0.062
1,49,0.06
1,50,0.06
2,1,0.074
2,2,0.074
2,3,0.067
2,4,0.067
2,5,0.064
2,6,0.078
2,7,0.074
2,8,0.071
2,9,0.07
2,10,0.069
2,11,0.067
2,12,0.069
2,13,0.078
2,14,0.084
2,15,0.074
2,16,0.072
2,17,0.069
2,18,0.072
2,19,0.076
2,20,0.072
2,21,0.073
2,22,0.072
2,23,0.067
2,24,0.065
2,25,0.064
2,26,0.08
2,27,0.068
2,28,0.066
2,29,0.09
2,30,0.065
2,31,0.063
2,32,0.064
2,33,0.26
2,34,0.068
2,35,0.064
2,36,0.067
2,37,0.065
2,38,0.063
2,39,0.065
2,40,0.062
2,41,0.088
2,42,0.061
2,43,0.062
2,44,0.061
2,45,0.062
2,46,0.064
2,47,0.061
2,48,0.061
2,49,0.063
2,50,0.062
3,1,0.063
3,2,0.063
3,3,0.064
3,4,0.071
3,5,0.066
3,6,0.064
3,7,0.063
3,8,0.063
3,9,0.065
3,10,0.064
3,11,0.063
3,12,0.064
3,13,0.064
3,14,0.065
3,15,0.066
3,16,0.064
3,17,0.063
3,18,0.066
3,19,0.065
3,20,0.064
3,21,0.068
3,22,0.064
3,23,0.064
3,24,0.063
3,25,0.063
3,26,0.065
3,27,0.067
3,28,0.065
3,29,0.065
3,30,0.07
3,31,0.072
3,32,0.065
3,33,0.066
3,34,0.063
3,35,0.064
3,36,0.063
3,37,0.087
3,38,0.062
3,39,0.063
3,40,0.066
3,41,0.063
3,42,0.073
3,43,0.067
3,44,0.064
3,45,0.072
3,46,0.071
3,47,0.07
3,48,0.073
3,49,0.07
3,50,0.068
4,1,0.064
4,2,0.067
4,3,0.066
4,4,0.074
4,5,0.066
4,6,0.064
4,7,0.075
4,8,0.067
4,9,0.067
4,10,0.07
4,11,0.074
4,12,0.09
4,13,0.07
4,14,0.065
4,15,0.065
4,16,0.064
4,17,0.075
4,18,0.095
4,19,0.085
4,20,0.093
4,21,0.081
4,22,0.069
4,23,0.082
4,24,0.103
4,25,0.116
4,26,0.154
4,27,0.1
4,28,0.086
4,29,0.076
4,30,0.074
4,31,0.075
4,32,0.085
4,33,0.066
4,34,0.07
4,35,0.061
4,36,0.066
4,37,0.078
4,38,0.083
4,39,0.073
4,40,0.071
4,41,0.07
4,42,0.065
4,43,0.07
4,44,0.115
4,45,0.183
4,46,0.105
4,47,0.092
4,48,0.126
4,49,0.117
4,50,0.132
5,1,0.206
5,2,0.099
5,3,0.09
5,4,0.091
5,5,0.084
5,6,0.083
5,7,0.091
5,8,0.097
5,9,0.089
5,10,0.083
5,11,0.125
5,12,0.131
5,13,0.147
5,14,0.115
5,15,0.108
5,16,0.127
5,17,0.126
5,18,0.118
5,19,0.125
5,20,0.13
5,21,0.143
5,22,0.123
5,23,0.119
5,24,0.113
5,25,0.106
5,26,0.068
5,27,0.072
5,28,0.068
5,29,0.063
5,30,0.068
5,31,0.067
5,32,0.065
5,33,0.063
5,34,0.09
5,35,0.063
5,36,0.064
5,37,0.061
5,38,0.065
5,39,0.061
5,40,0.064
5,41,0.068
5,42,0.065
5,43,0.065
5,44,0.066
5,45,0.065
5,46,0.061
5,47,0.062
5,48,0.063
5,49,0.061
5,50,0.075
6,1,0.064
6,2,0.064
6,3,0.066
6,4,0.062
6,5,0.073
6,6,0.067
6,7,0.066
6,8,0.07
6,9,0.066
6,10,0.064
6,11,0.102
6,12,0.107
6,13,0.083
6,14,0.089
6,15,0.093
6,16,0.087
6,17,0.076
6,18,0.071
6,19,0.07
6,20,0.06
6,21,0.062
6,22,0.091
6,23,0.17
6,24,0.067
6,25,0.072
6,26,0.075
6,27,0.072
6,28,0.072
6,29,0.07
6,30,0.069
6,31,0.072
6,32,0.068
6,33,0.083
6,34,0.072
6,35,0.066
6,36,0.075
6,37,0.074
6,38,0.077
6,39,0.171
6,40,0.072
6,41,0.074
6,42,0.069
6,43,0.062
6,44,0.096
6,45,0.063
6,46,0.062
6,47,0.064
6,48,0.067
6,49,0.068
6,50,0.064
7,1,0.068
7,2,0.065
7,3,0.065
7,4,0.063
7,5,0.066
7,6,0.065
7,7,0.064
7,8,0.061
7,9,0.065
7,10,0.063
7,11,0.065
7,12,0.064
7,13,0.063
7,14,0.063
7,15,0.064
7,16,0.072
7,17,0.066
7,18,0.062
7,19,0.063
7,20,0.063
7,21,0.065
7,22,0.065
7,23,0.064
7,24,0.063
7,25,0.062
7,26,0.063
7,27,0.064
7,28,0.063
7,29,0.063
7,30,0.062
7,31,0.062
7,32,0.063
7,33,0.072
7,34,0.061
7,35,0.064
7,36,0.063
7,37,0.063
7,38,0.065
7,39,0.064
7,40,0.063
7,41,0.064
7,42,0.064
