Experiment,Iteration,Time
1,1,0.053
1,2,0.055
1,3,0.054
1,4,0.055
1,5,0.054
2,1,0.053
2,2,0.056
2,3,0.054
2,4,0.054
2,5,0.054
3,1,0.057
3,2,0.057
3,3,0.067
3,4,0.055
3,5,0.056
4,1,0.069
4,2,0.064
4,3,0.068
4,4,0.068
4,5,0.066
5,1,0.065
5,2,0.066
5,3,0.065
5,4,0.066
5,5,0.073
6,1,0.061
6,2,0.065
6,3,0.064
6,4,0.066
6,5,0.066
7,1,0.063
7,2,0.069
7,3,0.077
7,4,0.071
7,5,0.066
8,1,0.061
8,2,0.056
8,3,0.064
8,4,0.064
8,5,0.066
9,1,0.061
9,2,0.13
9,3,0.075
9,4,0.085
9,5,0.081
10,1,0.06
10,2,0.063
10,3,0.063
10,4,0.062
10,5,0.059
11,1,0.062
11,2,0.066
11,3,0.067
11,4,0.063
11,5,0.066
12,1,0.06
12,2,0.059
12,3,0.06
12,4,0.06
12,5,0.06
13,1,0.07
13,2,0.071
13,3,0.072
13,4,0.07
13,5,0.07
14,1,0.103
14,2,0.102
14,3,0.105
14,4,0.11
14,5,0.113
15,1,0.076
15,2,0.09
15,3,0.074
15,4,0.077
15,5,0.076
16,1,0.103
16,2,0.111
16,3,0.101
16,4,0.103
16,5,0.107
17,1,0.237
17,2,0.248
17,3,0.233
17,4,0.229
17,5,0.225
18,1,0.102
18,2,0.102
18,3,0.103
18,4,0.1
18,5,0.103
19,1,0.219
19,2,0.219
19,3,0.218
19,4,0.221
19,5,0.224
20,1,1.295
20,2,1.298
20,3,1.312
20,4,1.311
20,5,1.318
21,1,0.249
21,2,0.254
21,3,0.258
21,4,0.243
21,5,0.239
22,1,1.289
22,2,1.311
22,3,1.32
22,4,1.276
22,5,1.278
23,1,6.435
23,2,6.447
23,3,6.404
23,4,6.47
23,5,6.47
24,1,27.57
24,2,28.751
24,3,28.474
24,4,28.309
24,5,28.728
25,1,6.522
25,2,6.486
25,3,6.463
25,4,6.464
25,5,6.522
26,1,27.676
26,2,27.919
26,3,27.915
26,4,27.581
26,5,27.819
