Experiment,Iteration,Time
1,1,0.059
1,2,0.056
1,3,0.056
1,4,0.057
1,5,0.062
1,6,0.057
1,7,0.056
1,8,0.057
1,9,0.057
1,10,0.057
1,11,0.056
1,12,0.057
1,13,0.061
1,14,0.066
1,15,0.064
1,16,0.064
1,17,0.056
1,18,0.056
1,19,0.066
1,20,0.057
1,21,0.065
1,22,0.061
1,23,0.058
1,24,0.058
1,25,0.057
1,26,0.058
1,27,0.056
1,28,0.064
1,29,0.065
1,30,0.061
1,31,0.062
1,32,0.058
1,33,0.06
1,34,0.059
1,35,0.059
1,36,0.059
1,37,0.057
1,38,0.06
1,39,0.06
1,40,0.061
1,41,0.061
1,42,0.062
1,43,0.061
1,44,0.059
1,45,0.059
1,46,0.059
1,47,0.058
1,48,0.06
1,49,0.062
1,50,0.061
2,1,0.056
2,2,0.06
2,3,0.056
2,4,0.059
2,5,0.058
2,6,0.058
2,7,0.058
2,8,0.059
2,9,0.057
2,10,0.058
2,11,0.061
2,12,0.058
2,13,0.058
2,14,0.057
2,15,0.061
2,16,0.06
2,17,0.062
2,18,0.06
2,19,0.061
2,20,0.057
2,21,0.057
2,22,0.058
2,23,0.057
2,24,0.058
2,25,0.059
2,26,0.057
2,27,0.058
2,28,0.058
2,29,0.057
2,30,0.065
2,31,0.062
2,32,0.06
2,33,0.066
2,34,0.063
2,35,0.061
2,36,0.058
2,37,0.065
2,38,0.071
2,39,0.068
2,40,0.063
2,41,0.063
2,42,0.064
2,43,0.06
2,44,0.058
2,45,0.059
2,46,0.058
2,47,0.063
2,48,0.065
2,49,0.061
2,50,0.067
3,1,0.059
3,2,0.061
3,3,0.058
3,4,0.058
3,5,0.057
3,6,0.061
3,7,0.058
3,8,0.059
3,9,0.059
3,10,0.059
3,11,0.059
3,12,0.058
3,13,0.056
3,14,0.064
3,15,0.058
3,16,0.059
3,17,0.059
3,18,0.062
3,19,0.058
3,20,0.059
3,21,0.058
3,22,0.06
3,23,0.06
3,24,0.061
3,25,0.061
3,26,0.061
3,27,0.062
3,28,0.062
3,29,0.062
3,30,0.07
3,31,0.074
3,32,0.064
3,33,0.065
3,34,0.063
3,35,0.063
3,36,0.062
3,37,0.07
3,38,0.065
3,39,0.06
3,40,0.06
3,41,0.067
3,42,0.068
3,43,0.067
3,44,0.068
3,45,0.072
3,46,0.062
3,47,0.063
3,48,0.065
3,49,0.064
3,50,0.062
4,1,0.067
4,2,0.067
4,3,0.065
4,4,0.065
4,5,0.063
4,6,0.066
4,7,0.068
4,8,0.063
4,9,0.062
4,10,0.062
4,11,0.06
4,12,0.06
4,13,0.058
4,14,0.061
4,15,0.061
4,16,0.062
4,17,0.06
4,18,0.06
4,19,0.06
4,20,0.06
4,21,0.059
4,22,0.06
4,23,0.06
4,24,0.063
4,25,0.06
4,26,0.058
4,27,0.059
4,28,0.06
4,29,0.06
4,30,0.059
4,31,0.061
4,32,0.067
4,33,0.067
4,34,0.059
4,35,0.057
4,36,0.06
4,37,0.062
4,38,0.063
4,39,0.061
4,40,0.059
4,41,0.065
4,42,0.06
4,43,0.059
4,44,0.06
4,45,0.059
4,46,0.058
4,47,0.059
4,48,0.058
4,49,0.063
4,50,0.059
5,1,0.061
5,2,0.069
5,3,0.074
5,4,0.064
5,5,0.06
5,6,0.058
5,7,0.06
5,8,0.062
5,9,0.063
5,10,0.059
5,11,0.059
5,12,0.06
5,13,0.064
5,14,0.061
5,15,0.059
5,16,0.065
5,17,0.062
5,18,0.064
5,19,0.062
5,20,0.061
5,21,0.061
5,22,0.059
5,23,0.058
5,24,0.06
5,25,0.062
5,26,0.058
5,27,0.064
5,28,0.06
5,29,0.06
5,30,0.061
5,31,0.06
5,32,0.059
5,33,0.059
5,34,0.062
5,35,0.077
5,36,0.059
5,37,0.059
5,38,0.062
5,39,0.063
5,40,0.061
5,41,0.062
5,42,0.06
5,43,0.057
5,44,0.058
5,45,0.062
5,46,0.058
5,47,0.058
5,48,0.058
5,49,0.063
5,50,0.061
6,1,0.06
6,2,0.061
6,3,0.062
6,4,0.061
6,5,0.06
6,6,0.06
6,7,0.062
6,8,0.062
6,9,0.062
6,10,0.06
6,11,0.06
6,12,0.06
6,13,0.061
6,14,0.062
6,15,0.061
6,16,0.061
6,17,0.062
6,18,0.063
6,19,0.06
6,20,0.06
6,21,0.062
6,22,0.064
6,23,0.058
6,24,0.06
6,25,0.058
6,26,0.059
6,27,0.059
6,28,0.061
6,29,0.06
6,30,0.059
6,31,0.06
6,32,0.062
6,33,0.061
6,34,0.059
6,35,0.059
6,36,0.062
6,37,0.062
6,38,0.06
6,39,0.061
6,40,0.061
6,41,0.061
6,42,0.061
6,43,0.062
6,44,0.069
6,45,0.067
6,46,0.064
6,47,0.068
6,48,0.067
6,49,0.063
6,50,0.061
7,1,0.063
7,2,0.062
7,3,0.062
7,4,0.064
7,5,0.064
7,6,0.062
7,7,0.06
7,8,0.062
7,9,0.064
7,10,0.064
7,11,0.064
7,12,0.066
7,13,0.062
7,14,0.066
7,15,0.068
7,16,0.068
7,17,0.077
7,18,0.088
7,19,0.07
7,20,0.075
7,21,0.065
7,22,0.074
7,23,0.078
7,24,0.071
7,25,0.075
7,26,0.091
7,27,0.091
7,28,0.081
7,29,0.08
7,30,0.079
7,31,0.072
7,32,0.092
7,33,0.08
7,34,0.078
7,35,0.082
7,36,0.186
7,37,0.078
7,38,0.084
7,39,0.078
7,40,0.08
7,41,0.073
7,42,0.074
7,43,0.071
7,44,0.068
7,45,0.07
7,46,0.063
7,47,0.065
7,48,0.065
7,49,0.062
7,50,0.073
8,1,0.076
8,2,0.072
8,3,0.073
8,4,0.061
8,5,0.071
8,6,0.069
8,7,0.076
8,8,0.065
8,9,0.063
8,10,0.062
8,11,0.062
8,12,0.06
8,13,0.062
8,14,0.061
8,15,0.062
8,16,0.061
8,17,0.063
8,18,0.062
8,19,0.067
8,20,0.066
8,21,0.065
8,22,0.066
8,23,0.067
8,24,0.062
8,25,0.062
8,26,0.065
8,27,0.073
8,28,0.075
8,29,0.077
8,30,0.082
8,31,0.07
8,32,0.076
8,33,0.066
8,34,0.064
8,35,0.066
8,36,0.067
8,37,0.066
8,38,0.061
